========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
========================================================================================================================
Fix Me                                   | 10 Years                       | Rock                 | 2010  
Wasteland                                | 10 Years                       | Rock                 | 2005  
Duro Igual Concreto                      | 1Kilo                          | Hip-Hop/Rap          | 2017  
Deixe Me Ir (feat. Pablo Martins) - Ac   | 1Kilo, Baviera, Knust, Pablo   | Hip-Hop/Rap          | 2017  
Anjos na Rebeldia                        | 1Kilo, Bruno Chelles           | Hip-Hop/Rap          | 2017  
Tenta Vir - Acústico                     | 1Kilo, DoisP                   | Hip-Hop/Rap          | 2017  
Deixe Me Ir - Acústico                   | 1Kilo, Knust, Baviera          | Hip-Hop/Rap          | 2017  
Deixe-Me Ir - LIVA Remix                 | 1Kilo, LIVA (BR)               | Hip-Hop/Rap          | 2018  
Só por Hoje                              | 1Kilo, Lucas Lucco             | Hip-Hop/Rap          | 2017  
Drogas                                   | 1Kilo, Pablo Martins           | Hip-Hop/Rap          | 2017  
Stay With Me                             | 1nonly                         | Aesthetic Rap        | 2019  
Zoom!                                    | 1nonly                         | Aesthetic Rap        | 2020  
Bunny Girl                               | 1nonly, Ciscaux                | Aesthetic Rap        | 2020  
DANCE!                                   | 1nonly, Ciscaux,               | Aesthetic Rap        | 2021  
Shakira!                                 | 1nonly, EGOVERT                | Aesthetic Rap        | 2020  
We Own It (Fast & Furious)               | 2 Chainz, Wiz Khalifa          | Hip-Hop/Rap          | 2013  
Bank Account                             | 21 Savage                      | Hip-Hop/Rap          | 2017  
Mood (Remix) feat. Justin Bieber, J Ba   | 24kGoldn, Justin Bieber, J B   | Pop                  | 2020  
Ambitionz Az A Ridah                     | 2Pac                           | Hip-Hop/Rap          | 1996  
All Eyez On Me (ft. Big Syke)            | 2Pac, Big Syke                 | Hip-Hop/Rap          | 1996  
Hit 'Em Up - Single Version              | 2Pac, Outlawz                  | Hip-Hop/Rap          | 1998  
f a s h i o n w e e k                    | 2dypoy                         | Eletrônica/Experim   | 2020  
Here Without You - Acoustic              | 3 Doors Down                   | Rock                 | 2005  
Kryptonite                               | 3 Doors Down                   | Música               | 2000  
Foda Que Ela É Linda                     | 3030, Tifli                    | Rap                  | 2014  
21 Questions                             | 50 Cent                        | Hip-Hop/Rap          | 2003  
Candy Shop                               | 50 Cent                        | Hip-Hop/Rap          | 2005  
If I Can't                               | 50 Cent                        | Hip-Hop/Rap          | 2003  
In Da Club                               | 50 Cent                        | Hip-Hop/Rap          | 2003  
Just A Lil Bit                           | 50 Cent                        | Hip-Hop/Rap          | 2023  
Many Men                                 | 50 Cent                        | Hip-Hop/Rap          | 2003  
P.I.M.P.                                 | 50 Cent                        | Hip-Hop/Rap          | 2003  
What Up Gangsta                          | 50 Cent                        | Hip-Hop/Rap          | 2003  
